[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=151s target=90k/s gen=1,550,700 (22500/s) emit=1,325,540 (17296/s) drop=180,745 (11.7%) q=44414
[Source-2] t=160s target=90k/s gen=1,775,700 (23865/s) emit=1,498,497 (18345/s) drop=236,537 (13.3%) q=40665
[Source-2] t=170s target=90k/s gen=2,000,700 (22500/s) emit=1,650,586 (15209/s) drop=305,113 (15.3%) q=45000
[Source-2] t=180s target=90k/s gen=2,225,700 (22498/s) emit=1,828,791 (17819/s) drop=354,285 (15.9%) q=42623
[Source-2] t=190s target=90k/s gen=2,450,700 (24049/s) emit=1,996,522 (17928/s) drop=411,717 (16.8%) q=42460
[Source-2] t=200s target=15k/s gen=2,653,575 (20288/s) emit=2,161,824 (16530/s) drop=461,016 (17.4%) q=30734
[Source-2] t=210s target=15k/s gen=2,691,075 (3750/s) emit=2,230,059 (6824/s) drop=461,016 (17.1%) q=0
[Source-2] t=220s target=15k/s gen=2,728,575 (3750/s) emit=2,267,559 (3750/s) drop=461,016 (16.9%) q=0
[Source-2] t=229s target=15k/s gen=2,766,075 (4026/s) emit=2,305,059 (4026/s) drop=461,016 (16.7%) q=0
[Source-2] t=239s target=15k/s gen=2,803,575 (3750/s) emit=2,342,559 (3750/s) drop=461,016 (16.4%) q=0
[Source-2] t=249s target=15k/s gen=2,841,075 (3750/s) emit=2,380,059 (3750/s) drop=461,016 (16.2%) q=0
[Source-2] t=258s target=15k/s gen=2,878,575 (4000/s) emit=2,417,559 (4000/s) drop=461,016 (16.0%) q=0
[Source-2] t=268s target=15k/s gen=2,916,075 (3750/s) emit=2,455,059 (3750/s) drop=461,016 (15.8%) q=0
[Source-2] t=278s target=15k/s gen=2,953,575 (3750/s) emit=2,492,559 (3750/s) drop=461,016 (15.6%) q=0
[Source-2] t=288s target=15k/s gen=2,991,075 (4027/s) emit=2,530,059 (4027/s) drop=461,016 (15.4%) q=0
[Source-2] t=298s target=15k/s gen=3,028,575 (3750/s) emit=2,567,559 (3750/s) drop=461,016 (15.2%) q=0
[Source-2] FINALIZADO en 300.1s: generated=3,037,350, emitted=2,576,334, dropped=461,016 (15.2%)
