[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=90s target=15k/s gen=348,825 (3750/s) emit=348,825 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=100s target=90k/s gen=397,950 (4913/s) emit=397,950 (4913/s) drop=0 (0.0%) q=0
[Source-3] t=110s target=90k/s gen=622,950 (22498/s) emit=566,653 (16869/s) drop=11,296 (1.8%) q=45000
[Source-3] t=120s target=90k/s gen=847,950 (22500/s) emit=682,014 (11536/s) drop=124,368 (14.7%) q=41567
[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=130s target=90k/s gen=902,400 (5444/s) emit=702,981 (2096/s) drop=154,418 (17.1%) q=45000
[Source-3] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-3] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=30s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=40s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=50s target=15k/s gen=198,825 (3750/s) emit=198,825 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=60s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=70s target=15k/s gen=273,825 (3750/s) emit=273,825 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=80s target=15k/s gen=311,325 (3750/s) emit=311,325 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=90s target=15k/s gen=348,825 (3750/s) emit=348,825 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=100s target=90k/s gen=405,075 (5625/s) emit=405,075 (5625/s) drop=0 (0.0%) q=0
[Source-3] t=110s target=90k/s gen=630,075 (22500/s) emit=630,075 (22500/s) drop=0 (0.0%) q=0
[Source-3] t=120s target=90k/s gen=855,075 (22500/s) emit=815,477 (18540/s) drop=0 (0.0%) q=39597
[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=130s target=90k/s gen=909,525 (5444/s) emit=857,406 (4192/s) drop=8,306 (0.9%) q=43812
[Source-3] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-3] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=31s target=15k/s gen=123,825 (3563/s) emit=123,825 (3563/s) drop=0 (0.0%) q=0
[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=41s target=15k/s gen=149,400 (2558/s) emit=149,400 (2558/s) drop=0 (0.0%) q=0
[Source-3] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-3] t=20s target=15k/s gen=86,250 (3750/s) emit=86,250 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=31s target=15k/s gen=123,750 (3283/s) emit=123,750 (3283/s) drop=0 (0.0%) q=0
[Source-3] t=41s target=15k/s gen=161,250 (3750/s) emit=161,250 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=51s target=15k/s gen=198,750 (3750/s) emit=198,750 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=61s target=15k/s gen=236,250 (3750/s) emit=236,250 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=71s target=15k/s gen=273,750 (3750/s) emit=273,750 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=81s target=15k/s gen=311,250 (3750/s) emit=311,250 (3750/s) drop=0 (0.0%) q=0
[Source-3] t=91s target=15k/s gen=348,825 (3758/s) emit=348,825 (3758/s) drop=0 (0.0%) q=0
[Source-3] t=101s target=90k/s gen=429,450 (8062/s) emit=429,450 (8062/s) drop=0 (0.0%) q=0
[Source-3] t=111s target=90k/s gen=654,450 (22500/s) emit=654,450 (22500/s) drop=0 (0.0%) q=0
[Source-3] t=121s target=90k/s gen=879,450 (22500/s) emit=830,832 (17638/s) drop=6,005 (0.7%) q=42612
[Source-3] t=131s target=90k/s gen=1,104,450 (23822/s) emit=1,003,799 (18313/s) drop=61,177 (5.5%) q=39473
[Source-3] t=141s target=90k/s gen=1,329,450 (22500/s) emit=1,161,157 (15736/s) drop=125,830 (9.5%) q=42462
[Source-3] t=151s target=90k/s gen=1,554,450 (22498/s) emit=1,334,123 (17295/s) drop=178,160 (11.5%) q=42166
[Source-3] t=160s target=90k/s gen=1,779,450 (23868/s) emit=1,507,089 (18348/s) drop=232,442 (13.1%) q=39918
[Source-3] t=170s target=90k/s gen=2,004,450 (22500/s) emit=1,659,184 (15210/s) drop=300,265 (15.0%) q=45000
[Source-3] t=180s target=90k/s gen=2,229,450 (22498/s) emit=1,837,379 (17818/s) drop=349,893 (15.7%) q=42177
[Source-3] t=190s target=90k/s gen=2,454,450 (24049/s) emit=2,010,348 (18487/s) drop=404,175 (16.5%) q=39926
[Source-3] t=200s target=15k/s gen=2,655,825 (20138/s) emit=2,167,683 (15734/s) drop=453,783 (17.1%) q=34358
[Source-3] t=210s target=15k/s gen=2,693,325 (3750/s) emit=2,239,542 (7185/s) drop=453,783 (16.8%) q=0
[Source-3] t=220s target=15k/s gen=2,730,825 (3750/s) emit=2,277,042 (3750/s) drop=453,783 (16.6%) q=0
[Source-3] t=229s target=15k/s gen=2,768,325 (4026/s) emit=2,314,542 (4026/s) drop=453,783 (16.4%) q=0
[Source-3] t=239s target=15k/s gen=2,805,825 (3750/s) emit=2,352,042 (3750/s) drop=453,783 (16.2%) q=0
[Source-3] t=249s target=15k/s gen=2,843,325 (3750/s) emit=2,389,542 (3750/s) drop=453,783 (16.0%) q=0
[Source-3] t=258s target=15k/s gen=2,880,825 (4000/s) emit=2,427,042 (4000/s) drop=453,783 (15.8%) q=0
[Source-3] t=268s target=15k/s gen=2,918,325 (3750/s) emit=2,464,542 (3750/s) drop=453,783 (15.5%) q=0
[Source-3] t=278s target=15k/s gen=2,955,825 (3750/s) emit=2,502,042 (3750/s) drop=453,783 (15.4%) q=0
[Source-3] t=288s target=15k/s gen=2,993,325 (4027/s) emit=2,539,542 (4027/s) drop=453,783 (15.2%) q=0
[Source-3] t=298s target=15k/s gen=3,030,825 (3750/s) emit=2,577,042 (3750/s) drop=453,783 (15.0%) q=0
[Source-3] FINALIZADO en 300.1s: generated=3,039,525, emitted=2,585,742, dropped=453,783 (14.9%)
