[Source-3/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-3] t=117s target=90k/s gen=804,075 (24267/s) emit=551,232 (6218/s) drop=209,034 (26.0%) q=43808
[Source-3] t=127s target=90k/s gen=1,029,075 (22498/s) emit=629,840 (7860/s) drop=354,968 (34.5%) q=44266
[Source-3] t=137s target=90k/s gen=1,254,075 (22500/s) emit=692,747 (6291/s) drop=516,327 (41.2%) q=45000
[Source-3] t=146s target=90k/s gen=1,479,075 (24422/s) emit=766,121 (7964/s) drop=671,837 (45.4%) q=41116
[Source-3] t=156s target=90k/s gen=1,704,075 (22500/s) emit=829,012 (6289/s) drop=830,062 (48.7%) q=45000
[Source-3] t=166s target=90k/s gen=1,929,075 (22498/s) emit=902,386 (7337/s) drop=981,688 (50.9%) q=45000
[Source-3] t=176s target=90k/s gen=2,154,075 (24277/s) emit=970,526 (7352/s) drop=1,138,548 (52.9%) q=45000
[Source-3] t=186s target=90k/s gen=2,379,075 (22500/s) emit=1,033,414 (6289/s) drop=1,300,660 (54.7%) q=45000
[Source-3] t=196s target=90k/s gen=2,604,075 (22498/s) emit=1,112,046 (7862/s) drop=1,449,561 (55.7%) q=42467
[Source-3] t=206s target=15k/s gen=2,704,200 (10013/s) emit=1,180,184 (6814/s) drop=1,507,193 (55.7%) q=16822
[Source-3] t=215s target=15k/s gen=2,741,700 (4054/s) emit=1,234,507 (5873/s) drop=1,507,193 (55.0%) q=0
[Source-3] t=225s target=15k/s gen=2,779,200 (3750/s) emit=1,272,007 (3750/s) drop=1,507,193 (54.2%) q=0
[Source-3] t=235s target=15k/s gen=2,816,700 (3750/s) emit=1,309,507 (3750/s) drop=1,507,193 (53.5%) q=0
[Source-3] t=244s target=15k/s gen=2,854,200 (4052/s) emit=1,347,007 (4052/s) drop=1,507,193 (52.8%) q=0
[Source-3] t=254s target=15k/s gen=2,891,700 (3750/s) emit=1,384,507 (3750/s) drop=1,507,193 (52.1%) q=0
[Source-3] t=264s target=15k/s gen=2,929,200 (3750/s) emit=1,422,007 (3750/s) drop=1,507,193 (51.5%) q=0
[Source-3] t=273s target=15k/s gen=2,966,700 (4052/s) emit=1,459,507 (4052/s) drop=1,507,193 (50.8%) q=0
[Source-3] t=283s target=15k/s gen=3,004,200 (3750/s) emit=1,497,007 (3750/s) drop=1,507,193 (50.2%) q=0
[Source-3] t=293s target=15k/s gen=3,041,700 (3750/s) emit=1,534,507 (3750/s) drop=1,507,193 (49.6%) q=0
[Source-3] FINALIZADO en 300.0s: generated=3,066,975, emitted=1,559,782, dropped=1,507,193 (49.1%)
[Source-3] t=302s target=15k/s gen=3,066,975 (2742/s) emit=1,559,782 (2742/s) drop=1,507,193 (49.1%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=10s target=15k/s gen=47,775 (4778/s) emit=47,775 (4778/s) drop=0 (0.0%) q=0
[Source-2] t=19s target=15k/s gen=85,275 (4077/s) emit=85,275 (4077/s) drop=0 (0.0%) q=0
[Source-2] t=29s target=15k/s gen=122,775 (3750/s) emit=122,775 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=39s target=15k/s gen=141,975 (1920/s) emit=141,975 (1920/s) drop=0 (0.0%) q=0
[Source-2] t=49s target=15k/s gen=179,475 (3750/s) emit=179,475 (3750/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=59s target=15k/s gen=188,550 (958/s) emit=188,550 (958/s) drop=0 (0.0%) q=0
[Source-2] t=10s target=15k/s gen=19,050 (1905/s) emit=19,050 (1905/s) drop=0 (0.0%) q=0
[Source-2] t=20s target=15k/s gen=56,550 (3750/s) emit=56,550 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=31s target=15k/s gen=92,775 (3359/s) emit=92,775 (3359/s) drop=0 (0.0%) q=0
[Source-2] t=41s target=15k/s gen=130,875 (3761/s) emit=130,875 (3761/s) drop=0 (0.0%) q=0
[Source-2] t=51s target=15k/s gen=168,375 (3750/s) emit=168,375 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=61s target=15k/s gen=205,875 (3750/s) emit=205,875 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=70s target=15k/s gen=243,225 (4068/s) emit=243,225 (4068/s) drop=0 (0.0%) q=0
[Source-2] t=80s target=15k/s gen=280,725 (3750/s) emit=280,725 (3750/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=90s target=15k/s gen=285,750 (503/s) emit=285,750 (503/s) drop=0 (0.0%) q=0
[Source-2] t=10s target=15k/s gen=48,375 (4838/s) emit=48,375 (4838/s) drop=0 (0.0%) q=0
[Source-2] t=19s target=15k/s gen=85,875 (4059/s) emit=85,875 (4059/s) drop=0 (0.0%) q=0
[Source-2] t=29s target=15k/s gen=123,375 (3750/s) emit=123,375 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=39s target=15k/s gen=160,875 (3750/s) emit=160,875 (3750/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=49s target=15k/s gen=189,375 (3067/s) emit=189,375 (3067/s) drop=0 (0.0%) q=0
[Source-2] t=10s target=15k/s gen=48,825 (4883/s) emit=48,825 (4883/s) drop=0 (0.0%) q=0
[Source-2] t=20s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=29s target=15k/s gen=123,825 (4055/s) emit=123,825 (4055/s) drop=0 (0.0%) q=0
[Source-2] t=39s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=49s target=15k/s gen=189,525 (2820/s) emit=189,525 (2820/s) drop=0 (0.0%) q=0
[Source-2] t=10s target=15k/s gen=48,825 (4882/s) emit=48,825 (4882/s) drop=0 (0.0%) q=0
[Source-2] t=19s target=15k/s gen=86,325 (4036/s) emit=86,325 (4036/s) drop=0 (0.0%) q=0
[Source-2] t=29s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=39s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=49s target=15k/s gen=198,825 (4067/s) emit=198,825 (4067/s) drop=0 (0.0%) q=0
[Source-2] t=59s target=15k/s gen=236,325 (3750/s) emit=236,325 (3750/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=69s target=15k/s gen=269,025 (3270/s) emit=269,025 (3270/s) drop=0 (0.0%) q=0
[Source-2] t=9s target=15k/s gen=48,825 (5283/s) emit=48,825 (5283/s) drop=0 (0.0%) q=0
[Source-2] t=19s target=15k/s gen=86,325 (3750/s) emit=86,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=29s target=15k/s gen=123,825 (3750/s) emit=123,825 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=39s target=15k/s gen=161,325 (3750/s) emit=161,325 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=49s target=15k/s gen=198,825 (4046/s) emit=198,825 (4046/s) drop=0 (0.0%) q=0
[Source-2/4] NON-BLOCKING: dist=STEP baseRate=60000 peakRate=90000 qCap=45000 maxAge=15000ms
[Source-2] t=59s target=15k/s gen=229,125 (3030/s) emit=229,125 (3030/s) drop=0 (0.0%) q=0
[Source-2] t=10s target=15k/s gen=48,750 (4875/s) emit=48,750 (4875/s) drop=0 (0.0%) q=0
[Source-2] t=19s target=15k/s gen=86,250 (4049/s) emit=86,250 (4049/s) drop=0 (0.0%) q=0
[Source-2] t=29s target=15k/s gen=123,750 (3750/s) emit=123,750 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=39s target=15k/s gen=161,250 (3750/s) emit=161,250 (3750/s) drop=0 (0.0%) q=0
[Source-2] t=48s target=15k/s gen=198,750 (4066/s) emit=198,750 (4066/s) drop=0 (0.0%) q=0
[Source-2] t=58s target=15k/s gen=236,250 (3750/s) emit=236,250 (3750/s) drop=0 (0.0%) q=0
